Time,FPz,Cz
0.0000,-35.7975,14.9908
7.8125,-21.3264,34.1841
15.6250,-26.2818,25.0903
23.4375,-25.5541,30.0770
31.2500,-26.9865,27.4662
39.0625,-18.6908,25.7856
46.8750,-30.4562,2.4578
54.6875,-26.1742,-3.2792
62.5000,-22.7446,-12.2169
70.3125,-15.6151,-4.5103
78.1250,-20.0341,8.7168
85.9375,-17.3920,14.0989
93.7500,-12.4494,15.0163
101.5625,-11.0360,23.1963
109.3750,-6.4353,40.8210
117.1875,-8.6176,42.7605
125.0000,-7.3137,41.5254
132.8125,-28.5929,11.6461
140.6250,-31.8592,-1.6828
148.4375,-32.6046,-12.7462
156.2500,-28.3041,-16.9363
164.0625,-32.2157,-19.7733
171.8750,-23.8400,-1.1704
179.6875,-29.8622,2.1150
187.5000,-26.7345,13.9820
195.3125,-27.2372,21.3653
203.1250,-14.7933,32.1936
210.9375,-4.8636,37.9487
218.7500,-7.3239,43.2319
226.5625,-17.6058,39.5711
234.3750,-25.2662,20.4452
242.1875,-25.3215,3.2757
250.0000,-29.6829,-4.0846
257.8125,-23.6581,7.1682
265.6250,-36.5515,7.1875
273.4375,-34.3172,30.8957
281.2500,-38.6235,29.2703
289.0625,-34.8867,29.9967
296.8750,-36.3477,20.9091
304.6875,-33.3422,14.1987
312.5000,-39.7751,-3.6957
320.3125,-25.1907,-3.7975
328.1250,-26.2142,-15.1012
335.9375,-27.4596,-18.0156
343.7500,-19.5134,-6.6504
351.5625,-24.7277,-2.6550
359.3750,-27.2525,5.7896
367.1875,-28.4437,8.2537
375.0000,-29.4260,19.6234
382.8125,-42.3297,18.6915
390.6250,-35.2736,27.1717
398.4375,-35.4570,13.6510
406.2500,-30.6567,10.0303
414.0625,-36.4104,1.2235
421.8750,-30.1532,11.3501
429.6875,-33.5741,9.9744
437.5000,-24.4347,20.3867
445.3125,-16.9391,27.1184
453.1250,-8.8536,38.0176
460.9375,-15.2674,42.3304
468.7500,-25.3181,37.5376
476.5625,-25.1714,33.5799
484.3750,-27.0307,22.7451
492.1875,-26.4932,21.3353
500.0000,-35.2283,5.8149
507.8125,-34.0925,2.3998
515.6250,-44.8696,-5.3931
523.4375,-36.3979,6.8599
531.2500,-34.9159,4.8440
539.0625,-29.1889,19.9754
546.8750,-43.0437,11.9465
554.6875,-40.4941,10.5999
562.5000,-44.1786,3.1102
570.3125,-44.3564,0.5129
578.1250,-46.7722,1.7335
585.9375,-45.8846,-7.3679
593.7500,-52.1444,-15.3888
601.5625,-56.5047,-6.9047
609.3750,-50.4932,-1.3480
617.1875,-55.3138,-4.2644
625.0000,-50.0541,8.0103
632.8125,-55.5779,-1.7276
640.6250,-42.5012,9.6934
648.4375,-41.0660,7.7076
656.2500,-39.7592,14.6834
664.0625,-54.5316,9.4593
671.8750,-53.8734,15.5502
679.6875,-57.5498,-0.2895
687.5000,-48.1865,0.0950
695.3125,-45.7768,7.6285
703.1250,-49.7756,9.0503
710.9375,-54.1636,6.3781
718.7500,-60.8420,2.1274
726.5625,-50.4357,12.1300
734.3750,-48.9058,15.6011
742.1875,-46.3933,20.8843
750.0000,-48.8650,20.4684
757.8125,-45.1977,32.8330
765.6250,-48.6424,21.4434
773.4375,-39.9257,22.6565
781.2500,-46.5238,15.7209
789.0625,-31.2342,21.2563
796.8750,-45.1673,5.0140
804.6875,-56.1199,-0.0265
812.5000,-36.8505,-8.1364
820.3125,-30.6434,-8.9722
828.1250,-46.8269,-5.7822
835.9375,-42.1340,7.4853
843.7500,-35.1700,14.5751
851.5625,-44.6196,7.1683
859.3750,-44.2779,11.1084
867.1875,-52.3473,-5.1075
875.0000,-54.7924,-7.6296
882.8125,-57.0312,-18.6185
890.6250,-47.7892,-23.9038
898.4375,-57.9647,-39.3193
906.2500,-54.8843,-24.5159
914.0625,-55.3844,-20.2701
921.8750,-41.5820,-8.6721
929.6875,-49.2205,-0.3952
937.5000,-51.0657,0.8206
945.3125,-50.9887,-2.9247
953.1250,-47.0813,1.0995
960.9375,-42.6837,-1.1707
968.7500,-44.6977,-2.6372
976.5625,-47.9254,-1.8049
984.3750,-59.1768,-14.3346
992.1875,-52.2522,-14.8881
1000.0000,-48.5061,-14.8096
1007.8125,-38.7649,4.8028
1015.6250,-50.1875,0.4847
1023.4375,-41.0473,2.8794
1031.2500,-50.0354,-5.8859
1039.0625,-47.9088,12.8413
1046.8750,-50.8458,11.7891
1054.6875,-51.6756,5.8691
1062.5000,-57.5868,-7.3702
1070.3125,-57.4268,-10.9227
1078.1250,-50.8329,-14.4947
1085.9375,-52.5474,-10.7616
1093.7500,-56.0388,-6.6237
1101.5625,-35.9290,-11.2962
1109.3750,-27.2521,-6.2491
1117.1875,-46.6499,-11.8981
1125.0000,-42.2210,1.5933
1132.8125,-53.3722,-10.5370
1140.6250,-55.5184,-14.9365
1148.4375,-64.3770,-21.7263
1156.2500,-51.7546,-13.7415
1164.0625,-48.0912,-24.6404
1171.8750,-39.2421,-19.8820
1179.6875,-38.3060,-25.1908
1187.5000,-39.0506,-29.0997
1195.3125,-39.3953,-21.3788
1203.1250,-29.5800,2.3757
1210.9375,-27.5513,14.6203
1218.7500,-33.5933,9.7088
1226.5625,-35.5818,11.2542
1234.3750,-37.8704,3.7002
1242.1875,-23.4230,16.8212
1250.0000,-23.4602,18.9911
1257.8125,-13.1020,26.6437
1265.6250,-20.4061,18.2945
1273.4375,-12.9386,28.2857
1281.2500,-3.6956,17.8452
